"code","title","umbrella_code","founder","main_category","category","has_interest","is_hedge","currency_type"
ZSF,ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ŞİRKETLERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Ziraat Portföy,Hisse Senedi,Hisse Senedi,true,false,Tümü
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Garanti Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,BV Portföy,Değişken,Turizm,true,false,Tümü
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Karma Şemsiye Fonu,İş Portföy,Karma,Hisse Senedi,true,false,Tümü
IZS,İSTANBUL PORTFÖY ALTINCI SERBEST FON,Serbest Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,true,Tümü
GZJ,GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Garanti Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
DPB,DENİZ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Deniz Portföy,Döviz,Döviz,true,true,Döviz
TI6,İŞ PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,İş Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Türk Lira
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ak Portföy,Değişken,Blockchain,true,false,Tümü
OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Osmanlı Portföy,Değişken,Değişken,true,false,Tümü
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Deniz Portföy,Değişken,Değişken,true,true,Döviz
TZT,ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Ziraat Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Türk Lira
EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,true,true,Döviz
